Tweet-Id,Friends,Tweets,Followers,Verified,Listed,Description,Image,Created,URL,Age,HasURL-TW,HasMedia-Tw,Label
1316428066848112647,1426,25559,2870,1,118,160,0,Tue Jul 22 17:11:48 +0000 2008,0,13,1,1,__label1__
1316558673381068801,9834,35447,60609,0,1260,139,0,Mon May 02 17:47:28 +0000 2011,1,10,1,1,__label1__
1316559054811131906,6040,80040,6453,0,1853,153,0,Thu Jun 25 08:13:57 +0000 2015,1,6,1,0,
1316576317601505280,8,162,25,0,0,159,0,Mon Jan 31 03:38:55 +0000 2011,1,10,1,0,__label1__
1316683487215222786,312,9703,1918,0,24,155,0,Mon Jul 01 20:22:49 +0000 2013,1,8,1,1,
1316695523622084614,668,1479,121,0,0,65,1,Wed Oct 31 17:46:34 +0000 2018,1,3,0,1,__label1__
1316704742693724160,65,221,47,0,1,158,1,Wed Jan 08 12:59:06 +0000 2020,1,1,1,1,__label3__
1316756090630090754,1713,60144,1955,0,66,157,0,Sat Nov 21 09:17:02 +0000 2015,1,6,0,1,
1316766933610528770,610,1395,1260,0,17,160,1,Thu Jul 26 12:18:17 +0000 2012,1,9,1,0,
1316771128048836615,17774,67895,44593,0,2332,156,1,Sat Mar 01 16:45:26 +0000 2014,1,7,1,0,__label1__
1316794015375912961,238,3621,386,0,14,145,1,Wed Oct 19 14:46:37 +0000 2011,1,10,1,0,__label1__
1316803838574292997,35,2085,6028,0,266,90,1,Fri Jan 04 19:02:47 +0000 2013,1,8,1,0,
1316835482068643840,95,12841,34,0,1,127,1,Mon Jun 15 14:06:51 +0000 2020,1,1,1,0,__label1__
1317001329240322048,4974,27785,2956,0,138,140,1,Wed Jul 29 00:49:34 +0000 2009,0,12,1,0,__label1__
1317042563853864960,293,281886,999079,1,2629,160,0,Wed Aug 26 07:55:29 +0000 2009,1,12,0,0,__label1__
1317043437359624192,10,457,11,0,4,126,1,Mon Oct 05 06:13:12 +0000 2020,1,1,0,1,
1317048787198726146,22888,19265,40194,0,710,147,0,Mon Sep 30 16:41:20 +0000 2013,1,8,1,1,
1317088203694747650,1029,13306,5641,0,463,143,1,Wed Mar 11 14:15:15 +0000 2009,1,12,1,0,
1317094378012254210,1340,29572,406,0,61,137,0,Thu Jun 09 15:18:19 +0000 2011,0,10,1,1,
1317190397353930752,0,8884,74,0,12,142,0,Tue Oct 29 07:44:43 +0000 2013,1,8,0,1,
1317223236682215424,86033,192894,101096,0,1018,160,0,Tue Oct 21 00:31:41 +0000 2008,0,13,0,1,
1317223758453600257,7699,131073,8015,0,205,160,0,Sat May 30 17:32:35 +0000 2009,1,12,0,1,
1317228240470077440,313,20227,731,0,74,159,1,Sat Aug 01 17:07:45 +0000 2009,1,12,1,0,
1317395128064090112,3079,227272,31413,0,1914,147,1,Sat Nov 05 16:26:57 +0000 2011,1,10,1,0,
1317495774981259264,52498,101699,66972,0,720,134,1,Sun Dec 27 09:07:18 +0000 2009,1,12,0,1,
1317541371063001088,3042,92207,2751,0,91,157,0,Mon Feb 27 17:18:43 +0000 2012,1,9,1,1,
1317724610369064963,1838,13048,3193,0,193,160,0,Fri Nov 06 16:22:05 +0000 2009,1,12,1,0,__label1__
1317812675775180800,6337,20672,201261,0,5091,111,0,Fri Jan 09 03:02:19 +0000 2009,1,12,1,0,
1317818017070391296,52,3050,69,0,1,145,1,Thu Apr 11 00:57:20 +0000 2019,1,2,0,1,__label1__
1317848023536439297,158,1192,250,0,0,146,1,Mon Jan 06 14:52:51 +0000 2020,1,1,0,1,
1317883988468469761,794,784,264,0,0,36,1,Thu Jul 20 21:39:15 +0000 2017,1,4,1,0,
1317948134866055168,169,9049,1128,0,159,137,0,Thu Dec 04 16:00:54 +0000 2008,1,13,1,0,__label3__
1318018722934583296,163,129,19,0,0,68,1,Sun Aug 16 08:11:03 +0000 2020,0,1,1,0,
1318067157171916801,319,1376,752,0,9,160,1,Wed Apr 17 03:47:52 +0000 2019,1,2,0,1,
1318086060367249409,1483,832,655,0,7,125,1,Mon Oct 05 13:07:58 +0000 2015,1,6,1,0,
1318253950794072071,0,18,0,0,0,0,1,Wed Oct 14 18:26:24 +0000 2020,0,1,1,0,__label1__
1318254989760811008,3671,4301,953,0,44,155,0,Mon Mar 23 06:44:35 +0000 2009,1,12,0,0,
1318265818166251522,251,4428,69,0,2,69,1,Wed Aug 14 09:05:57 +0000 2013,0,8,0,0,__label3__
1318270103079641090,13224,209046,12033,0,239,158,0,Fri Jul 27 21:46:48 +0000 2007,1,14,1,0,
1318272169126801411,14,17467,851,0,11,12,0,Tue Jun 12 03:36:46 +0000 2012,0,9,0,0,
1318276289820844034,3930,132609,5481,0,113,157,1,Tue Jun 10 01:47:14 +0000 2014,0,7,0,0,__label3__
1318276518691377154,2363,39008,1546,0,28,63,1,Mon Feb 06 01:14:58 +0000 2012,0,9,0,0,
1318295695888019456,857,7983,12222,0,27,125,0,Sat Sep 05 20:09:09 +0000 2009,1,12,0,0,
1318310065124900868,753,7028,564,0,9,77,0,Wed Feb 22 22:39:25 +0000 2012,0,9,0,0,__label3__
1318312806983323649,6102,57969,7121,0,1,31,1,Tue Aug 01 03:01:25 +0000 2017,0,4,0,0,__label3__
1318325605885071361,267,2113,110,0,0,0,1,Fri Jul 13 23:59:40 +0000 2012,0,9,1,0,
1318350516640833536,3602,23267,171382,1,1915,140,0,Thu Nov 20 10:36:52 +0000 2008,1,13,0,0,
1318360032321413120,1,153991,3863,0,97,160,0,Mon Jul 15 09:19:06 +0000 2019,1,2,0,0,
1318381120866652161,16628,590373,16165,0,304,151,1,Tue Oct 01 22:47:46 +0000 2013,0,8,1,0,__label1__
1318472325570859010,769,10307,1171,0,36,152,0,Fri Aug 08 17:24:13 +0000 2008,1,13,0,0,
1318556173914734594,627,4317,644,0,23,128,1,Fri Nov 14 10:30:18 +0000 2008,1,13,1,1,
1318561560634208259,319,1870,237,0,9,150,0,Mon Jan 14 15:46:19 +0000 2013,1,8,0,0,
1318568886846083076,105,19492,284,0,18,159,0,Mon Aug 20 00:02:21 +0000 2012,1,9,1,0,
1318604592876298241,3457,15313,4898,0,257,156,0,Tue Apr 26 22:47:09 +0000 2011,1,10,0,0,__label1__
1318607329315651585,1,153991,3863,0,97,160,0,Mon Jul 15 09:19:06 +0000 2019,1,2,1,1,
1318629117865172997,527,2156,382,0,20,152,0,Tue Sep 17 18:44:52 +0000 2013,1,8,1,0,__label3__
1318647103904751618,52498,101699,66972,0,720,134,1,Sun Dec 27 09:07:18 +0000 2009,1,12,1,0,
1318650255479611405,355,236,36,0,1,118,1,Tue Sep 29 14:50:58 +0000 2020,1,1,1,0,
1318767529913798657,4,294,5,0,0,0,1,Mon Oct 05 05:22:31 +0000 2020,0,1,0,0,
1318808547698855936,642,13867,3845,0,170,165,0,Mon Dec 14 15:48:44 +0000 2009,1,12,1,0,
1318855851164225536,1688,8449,1310,0,94,160,0,Tue Jun 02 11:51:33 +0000 2009,1,12,0,1,
1318982516108333060,111,1143,35,0,0,69,0,Sun Apr 23 02:00:21 +0000 2017,1,4,1,0,__label3__
1319014036277608453,4056,9118,1007,0,0,156,0,Thu Jul 12 16:28:57 +0000 2018,1,3,1,0,
1319036408816914433,4019,12593,4114,0,102,160,0,Wed Aug 26 05:49:53 +0000 2009,0,12,1,1,__label3__
1319042529459761153,850,83885,15000,0,1209,106,0,Mon Nov 05 17:56:51 +0000 2007,1,14,1,0,__label1__
1319105254835720192,21,8837,2411,0,1697,160,0,Tue Aug 26 10:22:56 +0000 2008,1,13,0,0,
1319105886938345474,5051,175881,4971,0,433,103,0,Thu Apr 07 04:09:54 +0000 2016,0,5,1,0,
1319108481933365249,157,6852,300,0,6,155,0,Tue Feb 05 15:33:52 +0000 2019,0,2,0,0,
1319108519262638080,112,72889,1294,0,38,118,1,Sat Dec 29 01:18:16 +0000 2018,1,3,0,0,__label1__
1319132401218523136,582,1410,604,0,8,120,1,Sat Dec 20 03:07:03 +0000 2014,0,7,0,1,__label3__
1319132401218523136,582,1410,604,0,8,120,1,Sat Dec 20 03:07:03 +0000 2014,0,7,0,1,__label1__
